Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Hydrobates castro (Harcourt, 1851);Hydrobates castro;Océanite de Castro;Legendaire
A;Fulmarus glacialis (Linnaeus, 1761);Fulmarus glacialis;Fulmar boréal;Commun
A;Calonectris borealis (Cory, 1881);Calonectris borealis;Puffin cendré;Commun
A;Calonectris diomedea (Scopoli, 1769);Calonectris diomedea;Puffin de Scopoli;Commun
A;Ardenna grisea (Gmelin, JF, 1789);Ardenna grisea;Puffin fuligineux;Rare
A;Ardenna tenuirostris (Temminck, 1836);Ardenna tenuirostris;Puffin à bec grêle;Epique
A;Ardenna gravis (O'Reilly, 1818);Ardenna gravis;Puffin majeur ;Rare
A;Puffinus puffinus (Brünnich, 1764);Puffinus puffinus;Puffin des Anglais;Commun
A;Puffinus yelkouan (Acerbi, 1827);Puffinus yelkouan;Puffin yelkouan;Commun
A;Puffinus mauretanicus Lowe, 1921;Puffinus mauretanicus;Puffin des Baléares;Rare
A;Ciconia nigra (Linnaeus, 1758);Ciconia nigra;Cigogne noire;Rare
A;Ciconia ciconia (Linnaeus, 1758);Ciconia ciconia;Cigogne blanche;Commun
A;Morus bassanus (Linnaeus, 1758);Morus bassanus;Fou de Bassan;Commun
A;Sula sula (Linnaeus, 1766);Sula sula;Fou à pieds rouges;Legendaire
A;Sula leucogaster (Boddaert, 1783);Sula leucogaster;Fou brun;Legendaire
A;Sula dactylatra Lesson, R, 1831;Sula dactylatra;Fou masqué;Legendaire
A;Microcarbo pygmaeus (Pallas, 1773);Microcarbo pygmaeus;Cormoran pygmée;Rare
A;Phalacrocorax carbo (Linnaeus, 1758);Phalacrocorax carbo;Grand Cormoran;Commun
A;Gulosus aristotelis (Linnaeus, 1761);Gulosus aristotelis;Cormoran huppé;Commun
A;Nannopterum auritum (Lesson, R, 1831);Nannopterum auritum;Cormoran à aigrettes;Legendaire
A;Plegadis falcinellus (Linnaeus, 1766);Plegadis falcinellus;Ibis falcinelle;Rare
A;– P. l. leucorodia Linnaeus, 1758;– P. l.;;Commun
A;Botaurus stellaris (Linnaeus, 1758);Botaurus stellaris;Butor étoilé;Rare
A;Botaurus sturmii(Wagler, 1827);Botaurus sturmii(Wagler,;Blongios de Sturm;Legendaire
A;Botaurus minutus (Linnaeus, 1766);Botaurus minutus;Blongios nain;Rare
A;Nycticorax nycticorax (Linnaeus, 1758);Nycticorax nycticorax;Bihoreau gris;Commun
A;Egretta garzetta (Linnaeus, 1766);Egretta garzetta;Aigrette garzette;Commun
A;Egretta gularis (Bosc, 1792);Egretta gularis;Aigrette des récifs;Legendaire
A;Butorides virescens (Linnaeus, 1758);Butorides virescens;Héron vert;Legendaire
A;Ardeola ralloides (Scopoli, 1769);Ardeola ralloides;Crabier chevelu;Rare
A;Ardea alba Linnaeus, 1758;Ardea alba;Grande Aigrette;Commun
A;Ardea ibis Linnaeus, 1758;Ardea ibis;Héron garde-bœufs;Commun
A;Ardea cinerea Linnaeus, 1758;Ardea cinerea;Héron cendré;Commun
A;Ardea herodias Linnaeus, 1758;Ardea herodias;Grand Héron;Legendaire
A;Ardea purpurea Linnaeus, 1766;Ardea purpurea;Héron pourpré;Commun
A;Ardea melanocephala Children & Vigors, 1826;Ardea melanocephala;Héron mélanocéphale;Legendaire
A;Pelecanus onocrotalus Linnaeus, 1758;Pelecanus onocrotalus;Pélican blanc;Legendaire
A;Pelecanus crispus Bruch, 1832;Pelecanus crispus;Pélican frisé;Legendaire
A;Pandion haliaetus (Linnaeus, 1758);Pandion haliaetus;Balbuzard pêcheur;Rare
A;Elanus caeruleus (Desfontaines, 1789);Elanus caeruleus;Elanion blanc;Rare
A;Gypaetus barbatus (Linnaeus, 1758);Gypaetus barbatus;Gypaète barbu;Rare
A;Neophron percnopterus (Linnaeus, 1758);Neophron percnopterus;Vautour percnoptère;Rare
A;Pernis apivorus (Linnaeus, 1758);Pernis apivorus;Bondrée apivore;Commun
A;Gyps rueppelli (Brehm, AE, 1852);Gyps rueppelli;Vautour de Rüppell;Legendaire
A;Circaetus gallicus (Gmelin, JF, 1788);Circaetus gallicus;Circaète Jean-le-blanc;Commun
A;Clanga pomarina (Brehm, CL, 1831);Clanga pomarina;Aigle pomarin;Rare
A;Clanga clanga (Pallas, 1811);Clanga clanga;Aigle criard;Epique
A;Hieraaetus pennatus (Gmelin, JF, 1788);Hieraaetus pennatus;Aigle botté;Rare
